date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:53	99703/99703	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/search.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/search.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:53	71302/71302	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/faq.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/faq.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:53	67305/67305	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/terms.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/terms.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:54	68348/68348	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/privacy-policy.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/privacy-policy.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:54	65377/65377	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/blank-page.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/blank-page.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:54	98379/98379	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/components.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/components.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:54	69370/69370	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/form-basic-inputs.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/form-basic-inputs.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:55	71502/71502	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2018:30:58%20GMT	https://smarthr.dreamguystech.com/html/template/form-input-groups.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/form-input-groups.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:55	74703/74703	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/form-horizontal.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/form-horizontal.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:55	73373/73373	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/form-vertical.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/form-vertical.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
